Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);294;287;309;333;272;233;290;282;283;341;261;336;3.521;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);307;292;318;348;278;241;301;295;293;355;284;362;3.674;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;2;2;6;3;6;1;5;4;5;7;4;6;51;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;2;2;6;3;6;1;5;4;6;7;4;7;53;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;250;250;294;312;340;276;343;296;286;298;255;307;3.507;
HOMICÍDIO CULPOSO OUTROS;14;18;20;16;14;14;13;13;19;10;15;20;186;
TENTATIVA DE HOMICÍDIO;380;348;387;362;315;288;327;326;352;355;344;333;4.117;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;2;3;3;4;12;
LESÃO CORPORAL DOLOSA;11.166;12.773;13.110;12.442;10.408;9.858;10.239;11.527;11.316;12.317;11.876;12.023;139.055;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;7.431;7.870;8.499;8.681;8.623;8.526;8.291;8.872;8.277;8.082;7.536;7.703;98.391;
LESÃO CORPORAL CULPOSA - OUTRAS;253;296;253;216;242;250;277;267;289;269;279;328;3.219;
LATROCÍNIO;27;24;26;28;31;27;35;26;32;37;28;31;352;
Nº DE VÍTIMAS EM LATROCÍNIO;28;24;27;31;31;27;36;27;33;38;28;31;361;
TOTAL DE ESTUPRO (4);790;783;909;760;683;811;728;976;953;951;914;797;10.055;
ESTUPRO DE VULNERÁVEL;0;0;0;0;0;0;0;0;663;641;591;535;2.430;
TOTAL DE ROUBO - OUTROS (1);25.640;25.643;29.407;26.778;26.690;26.576;25.932;28.451;27.631;27.756;27.029;25.741;323.274;
ROUBO DE VEÍCULO;6.479;6.098;6.619;6.454;6.302;6.009;6.137;6.370;6.292;7.119;6.752;7.318;77.949;
ROUBO A BANCO;9;10;9;19;14;4;14;10;11;9;14;14;137;
ROUBO DE CARGA;698;643;811;777;684;785;809;917;903;865;975;1.076;9.943;
FURTO - OUTROS;40.038;42.158;44.754;42.691;44.477;42.121;41.691;44.078;42.760;43.166;43.387;43.571;514.892;
FURTO DE VEÍCULO;8.955;9.067;9.787;9.292;9.518;9.750;9.448;9.572;9.448;9.083;9.101;7.911;110.932;

